id,name,search_name,generic,category,category_assumed,needs_review,duplicate,quantity,reorder_level,unit_cost
169,CO-AMOXICLAV 1.2,CO-AMOXICLAV 1.2,,Injection,,,,0,,
170,VIT B.CO INJ,VIT B.CO INJ,,Injection,,,,0,,
171,PCM INJ,PCM INJ,,Injection,,,,0,,
172,ROCEPHIN,ROCEPHIN,,Injection,,,,0,,
173,MELOCLOPROMIDE INJ,MELOCLOPROMIDE INJ,,Injection,,YES,,0,,
174,BRANDED EMAL,BRANDED EMAL,,Injection,,,,0,,
175,GASTROLOC OMEPRAZOLE,GASTROLOC OMEPRAZOLE,,Injection,,,,0,,
176,AVENTA FRUSENIDE,AVENTA FRUSENIDE,,Injection,,YES,,0,,
177,PAUCO (METOCLOPROMIDE),PAUCO,METOCLOPROMIDE,Injection,,YES,,0,,
178,UKAMOX (CO-AMOXICLAV),UKAMOX,CO-AMOXICLAV,Injection,,,,0,,
179,CO-AMOXICLAV 1.2 INJ,CO-AMOXICLAV 1.2 INJ,,Injection,,,,0,,
180,TROXONE FORT INJ,TROXONE FORT INJ,,Injection,,,,0,,
181,HYDROCORT BY NELB,HYDROCORT BY NELB,,Injection,,,,0,,
182,MEGA 2D INJ (CEPTRIAZOLE& SAL),MEGA 2D INJ,CEPTRIAZOLE& SAL,Injection,,,,0,,
183,TRANONCINOLONE INJ,TRANONCINOLONE INJ,,Injection,,YES,,0,,
184,AMINOPHILINE,AMINOPHILINE,,Injection,,YES,,0,,
185,REEKMAL 120MG,REEKMAL 120MG,,Injection,,,,0,,
186,TETANUS VACINE (10 PCS PER ROLL),TETANUS VACINE,10 PCS PER ROLL,Injection,,YES,,0,,
187,TRAMADOL,TRAMADOL,,Injection,,,,0,,
188,ERGOMETRIN,ERGOMETRIN,,Injection,,YES,,0,,
189,ADRENALINE INJ,ADRENALINE INJ,,Injection,,,,0,,
190,VIT C INJ,VIT C INJ,,Injection,,,,0,,
191,ACUPAN INJ,ACUPAN INJ,,Injection,,,,0,,
192,HALOPERIDOL INJ,HALOPERIDOL INJ,,Injection,,,,0,,
193,POTASSIUM CHLORIDE INJ,POTASSIUM CHLORIDE INJ,,Injection,,,,0,,
194,INJ ONOZENTRIN,INJ ONOZENTRIN,,Injection,,YES,,0,,
195,INJ ONDASENTRON,INJ ONDASENTRON,,Injection,,YES,,0,,
196,INJ RABIPRA,INJ RABIPRA,,Injection,,,,0,,
197,ANTALLERGE EYEDROP,ANTALLERGE EYEDROP,,Eyedrop,,,,0,,
198,CIPRO EYEDROP,CIPRO EYEDROP,,Eyedrop,,,,0,,
199,GENTACIN EYEDROP,GENTACIN EYEDROP,,Eyedrop,,,,0,,
200,OTOMED EYEDROP,OTOMED EYEDROP,,Eyedrop,,,,0,,
201,CHLORAMPHENICOL,CHLORAMPHENICOL,,Eyedrop,,,,0,,
202,IBUCAP CAPSULE,IBUCAP CAPSULE,,Tablet/Capsule,YES,,,0,,
203,LEUCAST 10MG TAB,LEUCAST 10MG TAB,,Tablet/Capsule,YES,,,0,,
204,LOPERAMIDE LIFEMOTIL TAB,LOPERAMIDE LIFEMOTIL TAB,,Tablet/Capsule,YES,,,0,,
205,LISINOPRIL 10MG [POCCO],LISINOPRIL 10MG,POCCO,Tablet/Capsule,YES,,,0,,
206,LOFNAC TAB,LOFNAC TAB,,Tablet/Capsule,YES,,,0,,
207,[CEFUROXIME] MIRAXIM 250MG CAP,MIRAXIM 250MG CAP,CEFUROXIME,Tablet/Capsule,YES,,,0,,
208,NIFECURE TAB,NIFECURE TAB,,Tablet/Capsule,YES,,,0,,
209,NIFEDIN DEXCEL [NIFEDIPINE],NIFEDIN DEXCEL,NIFEDIPINE,Tablet/Capsule,YES,,,0,,
210,NORGESIC TAB,NORGESIC TAB,,Tablet/Capsule,YES,,,0,,
211,P-ALAXIN TAB,P-ALAXIN TAB,,Tablet/Capsule,YES,,,0,,
212,REALLY EXTRA,REALLY EXTRA,,Tablet/Capsule,YES,,,0,,
213,TABALON [IBUPROFEN] 400MG,TABALON 400MG,IBUPROFEN,Tablet/Capsule,YES,,,0,,
214,TAMADIPINE - 10,TAMADIPINE - 10,,Tablet/Capsule,YES,,,0,,
215,LONARD DS,LONARD DS,,Tablet/Capsule,YES,,,0,,
216,UTTAPRO [CIPROFLOXACIN],UTTAPRO,CIPROFLOXACIN,Tablet/Capsule,YES,,,0,,
217,GLOBETA 625 [AMOXICILIN AND POTA],GLOBETA 625,AMOXICILIN AND POTA,Tablet/Capsule,YES,YES,,0,,
218,AXEREM 250MG TAB [AZITHROMYCIN],AXEREM 250MG TAB,AZITHROMYCIN,Tablet/Capsule,YES,,,0,,
219,DONYFLOX LEUOFLOXACIN 500MG,DONYFLOX LEUOFLOXACIN 500MG,,Tablet/Capsule,YES,YES,,0,,
220,ARTEMETHER AND LUMENFANTRINE BY DONY 20/120MG,ARTEMETHER AND LUMENFANTRINE BY DONY 20/120MG,,Tablet/Capsule,YES,YES,,0,,
221,ARTEMETHER AND LUMENFANTRINE BY DONY 80/480MG,ARTEMETHER AND LUMENFANTRINE BY DONY 80/480MG,,Tablet/Capsule,YES,YES,,0,,
222,TIPKIN-200 [CEFPODOXIME],TIPKIN-200,CEFPODOXIME,Tablet/Capsule,YES,,,0,,
223,TAB CO-CODAMOL 8MG/500MG,TAB CO-CODAMOL 8MG/500MG,,Tablet/Capsule,YES,,,0,,
224,M&B CIPROFLOXACIN,M&B CIPROFLOXACIN,,Tablet/Capsule,YES,,,0,,
225,MEPRASIL CAPSULE [OMEPRAZOLE],MEPRASIL CAPSULE,OMEPRAZOLE,Tablet/Capsule,YES,,,0,,
226,EMGIL 200MG [FLAGIL],EMGIL 200MG,FLAGIL,Tablet/Capsule,YES,,,0,,
227,EMGIL 400MG [FLAGIL],EMGIL 400MG,FLAGIL,Tablet/Capsule,YES,,,0,,
228,SELENIUM SUPPLEMENT,SELENIUM SUPPLEMENT,,Tablet/Capsule,YES,,,0,,
229,VITAMIN C X1000 (ORANGE),VITAMIN C X1000,ORANGE,Tablet/Capsule,YES,,,0,,
230,VITAMIN C X1000 (WHITE),VITAMIN C X1000,WHITE,Tablet/Capsule,YES,,,0,,
231,TAB PREGABALIN,TAB PREGABALIN,,Tablet/Capsule,YES,,,0,,
232,TAB NORMERETIC,TAB NORMERETIC,,Tablet/Capsule,YES,,,0,,
233,VENTOLIN TAB X 1000,VENTOLIN TAB X 1000,,Tablet/Capsule,YES,,,0,,
234,200MG EXCELEX CAPSULE (CELEROXIB),200MG EXCELEX CAPSULE,CELEROXIB,Tablet/Capsule,YES,,,0,,
235,AMOXICILIN CAPSULE (BEECHAM) 500MG,AMOXICILIN CAPSULE 500MG,BEECHAM,Tablet/Capsule,YES,YES,,0,,
236,DOGREL 75M (CLOPIDOGREL),DOGREL 75M,CLOPIDOGREL,Tablet/Capsule,YES,,,0,,
237,ATENOCOL 50MG,ATENOCOL 50MG,,Tablet/Capsule,YES,,,0,,
238,ATENOCOL 100MG,ATENOCOL 100MG,,Tablet/Capsule,YES,,,0,,
239,LOSATRAN 50MG (RISTA 50),LOSATRAN 50MG,RISTA 50,Tablet/Capsule,YES,,,0,,
240,LISINOPRIL 5MG (DOSTRIL),LISINOPRIL 5MG,DOSTRIL,Tablet/Capsule,YES,,,0,,
241,FLACOXTO - 200MG (CELECOXIB),FLACOXTO - 200MG,CELECOXIB,Tablet/Capsule,YES,,,0,,
242,BY 30 COGNITOL TAB (VINPOCENTIN) 5MG,BY 30 COGNITOL TAB 5MG,VINPOCENTIN,Tablet/Capsule,YES,YES,,0,,
243,ACYCLOR PLUS (ACECLOFENAC & PARACETAMOL),ACYCLOR PLUS,ACECLOFENAC & PARACETAMOL,Tablet/Capsule,YES,,,0,,
244,ACYCLOR TABLET (ACECLOFENAC),ACYCLOR TABLET,ACECLOFENAC,Tablet/Capsule,YES,,,0,,
245,DUPHASTON 10MG,DUPHASTON 10MG,,Tablet/Capsule,YES,,,0,,
246,ACETAZOLAMIDE 250MG,ACETAZOLAMIDE 250MG,,Tablet/Capsule,YES,,,0,,
247,ESOMEPRAZOLE 20MG BY ESOHEAL,ESOMEPRAZOLE 20MG BY ESOHEAL,,Tablet/Capsule,YES,,,0,,
248,ESIDREX 25MG,ESIDREX 25MG,,Tablet/Capsule,YES,,,0,,
249,ROBINAX (METHOCARBAMOL 500MG),ROBINAX,METHOCARBAMOL 500MG,Tablet/Capsule,YES,,,0,,
250,CLINDAMIN (DALACAP) 300MG,CLINDAMIN 300MG,DALACAP,Tablet/Capsule,YES,,,0,,
251,RANIDINE 300MG BY RANITA,RANIDINE 300MG BY RANITA,,Tablet/Capsule,YES,,,0,,
252,UNIVAL 5MG DIAZEPAM,UNIVAL 5MG DIAZEPAM,,Tablet/Capsule,YES,,,0,,
253,LIVOLIN FORTE,LIVOLIN FORTE,,Tablet/Capsule,YES,,,0,,
254,ARENAX PLUS FORTE 80/480,ARENAX PLUS FORTE 80/480,,Tablet/Capsule,YES,,,0,,
255,SECNIDAZOLE SWISEE 500MG,SECNIDAZOLE SWISEE 500MG,,Tablet/Capsule,YES,YES,,0,,
256,TELMISARTAN 80MG BY 30,TELMISARTAN 80MG BY 30,,Tablet/Capsule,YES,,,0,,
257,DAY BY DAY (MULTIVITAMIN),DAY BY DAY,MULTIVITAMIN,Tablet/Capsule,YES,,,0,,
258,RANFERON CAPSULE -12,RANFERON CAPSULE -12,,Tablet/Capsule,YES,,,0,,
259,GLUCOPHAGE TAB,GLUCOPHAGE TAB,,Tablet/Capsule,YES,,,0,,
260,BRUSTAN TAB (IBUPROFEN) 400MG,BRUSTAN TAB 400MG,IBUPROFEN,Tablet/Capsule,YES,,,0,,
261,FELVIN CAPSULE 20MG,FELVIN CAPSULE 20MG,,Tablet/Capsule,YES,,,0,,
262,CALCIMAX CALCIUM TAB,CALCIMAX CALCIUM TAB,,Tablet/Capsule,YES,,,0,,
263,HYDREX TAB (HYDROCHLOROTHIAZIDE),HYDREX TAB,HYDROCHLOROTHIAZIDE,Tablet/Capsule,YES,,,0,,
264,LOXAGYL 400MG (METRONIDAZOLE),LOXAGYL 400MG,METRONIDAZOLE,Tablet/Capsule,YES,,,0,,
265,LOXAGYL 200MG (METRONIDAZOLE),LOXAGYL 200MG,METRONIDAZOLE,Tablet/Capsule,YES,,,0,,
266,B-COMPLEX TAB BY 100,B-COMPLEX TAB BY 100,,Tablet/Capsule,YES,,,0,,
267,WELL 100MG VITABIOTICS,WELL 100MG VITABIOTICS,,Tablet/Capsule,YES,,,0,,
268,SEMTEAL 5MG,SEMTEAL 5MG,,Tablet/Capsule,YES,,,0,,
269,STUGERON (CINNARIZINE) 25MG,STUGERON 25MG,CINNARIZINE,Tablet/Capsule,YES,,,0,,
270,SPIRONOLACTONE 25MG,SPIRONOLACTONE 25MG,,Tablet/Capsule,YES,,,0,,
271,METRONIGAZOLE FLANODOL 200MG BY 1000,METRONIGAZOLE FLANODOL 200MG BY 1000,,Tablet/Capsule,YES,YES,,0,,
272,AXONAL (KETOCOMZOLE TAB USP 200MG),AXONAL,KETOCOMZOLE TAB USP 200MG,Tablet/Capsule,YES,YES,,0,,
273,CINNAMOL PARACETAMOL 500MG BY 1000,CINNAMOL PARACETAMOL 500MG BY 1000,,Tablet/Capsule,YES,YES,,0,,
274,CAMOSUNNATE ADULT,CAMOSUNNATE ADULT,,Tablet/Capsule,YES,,,0,,
275,CHEMIRON BLOOD CAPSULE,CHEMIRON BLOOD CAPSULE,,Tablet/Capsule,YES,,,0,,
276,FLUCONAZOLE CAPSULE 200MG,FLUCONAZOLE CAPSULE 200MG,,Tablet/Capsule,YES,,,0,,
277,FESULF (FERROUS SULPHATE TAB 200MG),FESULF,FERROUS SULPHATE TAB 200MG,Tablet/Capsule,YES,,,0,,
